N,Sex,Year,Weight,Height,BMI,BMI_Type
1,Female,1988,50,1.61,19.28937927,Normal weight
2,Female,2003,44.6,1.63,16.78648048,Underweight
3,Female,2003,57.2,1.7,19.79238754,Normal weight
4,Male,2003,74.5,1.83,22.24611066,Normal weight
5,Female,2003,63,1.61,24.30461788,Normal weight
6,Male,2003,88.5,1.78,27.93207928,Pre-obesity
7,Male,2003,75.5,1.76,24.37370868,Normal weight
8,Female,2002,52,1.68,18.42403628,Underweight
9,Male,2002,69.1,1.79,21.56611841,Normal weight
10,Male,2002,54,1.65,19.83471074,Normal weight
11,Male,2003,63,1.7,21.79930796,Normal weight
12,Male,2003,56.5,1.75,18.44897959,Underweight
13,Male,2002,78.6,1.83,23.47039326,Normal weight
14,Male,2004,64.6,1.72,21.83612764,Normal weight
15,Female,2002,55,1.63,20.70081674,Normal weight
16,Male,2003,55,1.71,18.80920625,Normal weight
17,Female,2002,43.5,1.58,17.42509213,Underweight
18,Male,2002,95,1.86,27.45982194,Pre-obesity
19,Female,2002,60,1.65,22.03856749,Normal weight
20,Female,2003,52.5,1.63,19.75987053,Normal weight
21,Male,2003,58.6,1.73,19.57967189,Normal weight
22,Female,2003,50.5,1.62,19.24249352,Normal weight
23,Male,2002,69.4,1.73,23.1882121,Normal weight
24,Male,2003,61,1.84,18.01748582,Underweight
25,Female,2003,60.8,1.68,21.54195011,Normal weight
26,Male,2003,66.1,1.78,20.86226487,Normal weight
27,Female,2004,66.5,1.6,25.9765625,Pre-obesity
28,Male,2003,56.2,1.76,18.14307851,Underweight
29,Female,2003,55,1.68,19.48696145,Normal weight
30,Female,2003,60,1.6,23.4375,Normal weight
31,Female,2003,57,1.61,21.98989237,Normal weight
32,Female,2003,47,1.6,18.359375,Underweight
33,Female,2003,68.5,1.72,23.15440779,Normal weight
35,Male,2002,56,1.77,17.87481247,Underweight
36,Male,2003,75,1.75,24.48979592,Normal weight
37,Male,2004,62,1.77,19.78997095,Normal weight
38,Male,2003,46,1.77,14.68288168,Underweight
39,Female,2002,55,1.68,19.48696145,Normal weight
40,Female,2003,46,1.57,18.66201469,Normal weight
41,Female,2003,50,1.61,19.28937927,Normal weight
42,Male,2003,67.2,1.79,20.97312818,Normal weight
43,Female,2003,49,1.69,17.15626204,Underweight
44,Female,2003,56,1.63,21.07719523,Normal weight
45,Male,2003,61.5,1.71,21.03211244,Normal weight
46,Female,2003,52.2,1.55,21.72736733,Normal weight
47,Female,2003,44.2,1.58,17.70549591,Underweight
48,Female,2003,50,1.6,19.53125,Normal weight
49,Male,2002,58.5,1.71,20.00615574,Normal weight
50,Male,2002,70,1.74,23.1206236,Normal weight
51,Male,2003,72.6,1.83,21.67876019,Normal weight
52,Male,2003,46.2,1.68,16.36904762,Underweight
54,Female,2003,43.1,1.54,18.17338506,Underweight
56,Male,2003,62.5,1.75,20.40816327,Normal weight
57,Female,2003,48,1.58,19.22768787,Normal weight
58,Female,2003,50,1.58,20.02884153,Normal weight
59,Male,2003,65,1.8,20.0617284,Normal weight
60,Male,2003,55.1,1.65,20.23875115,Normal weight
61,Male,2002,56,1.68,19.84126984,Normal weight
62,Male,2002,70.1,1.7,24.25605536,Normal weight
63,Male,2003,57,1.8,17.59259259,Underweight
64,Female,2003,50,1.6,19.53125,Normal weight
65,Male,2003,74.6,1.81,22.77097769,Normal weight
66,Male,2003,72,1.8,22.22222222,Normal weight
67,Female,2002,46.3,1.5,20.57777778,Normal weight
68,Female,2002,50,1.6,19.53125,Normal weight
69,Male,2003,62,1.79,19.35020755,Normal weight
70,Male,2003,60,1.75,19.59183673,Normal weight
71,Female,2003,53,1.66,19.23356075,Normal weight
72,Female,2003,50,1.63,18.81892431,Normal weight
73,Female,2002,56.5,1.59,22.34879949,Normal weight
74,Male,2002,63,1.72,21.29529475,Normal weight
75,Female,2003,64,1.65,23.50780533,Normal weight
76,Male,2003,70,1.76,22.5981405,Normal weight
77,Female,2003,53.5,1.64,19.89143367,Normal weight
78,Male,2003,46.8,1.71,16.00492459,Underweight
79,Male,2003,57.2,1.7,19.79238754,Normal weight
80,Male,2003,65,1.7,22.49134948,Normal weight
81,Female,2002,71.5,1.59,28.28210909,Pre-obesity
82,Female,2002,40,1.62,15.24157903,Underweight
83,Female,2002,54.4,1.63,20.47498965,Normal weight
84,Female,2002,43.3,1.55,18.02289282,Underweight
85,Female,2003,82,1.64,30.48780488,Obesity class I
86,Female,2002,55,1.67,19.72103697,Normal weight
88,Female,2003,58.5,172,0.00197742,Underweight
90,Male,2002,80,1.76,25.82644628,Pre-obesity
91,Female,2003,51.3,1.6,20.0390625,Normal weight
92,Female,2003,50.5,1.65,18.54912764,Normal weight
93,Female,2004,60.5,1.75,19.75510204,Normal weight
94,Male,2002,72,1.68,25.51020408,Pre-obesity
95,Male,2003,51,1.74,16.84502576,Underweight
96,Female,2003,54,1.62,20.57613169,Normal weight
97,Male,2003,62,1.7,21.4532872,Normal weight
98,Male,2003,62.5,1.75,20.40816327,Normal weight
99,Male,2001,78.8,1.8,24.32098765,Normal weight
100,Male,2003,74.5,1.75,24.32653061,Normal weight
102,Male,2003,70,1.75,22.85714286,Normal weight
103,Male,2003,66.3,1.69,23.21347292,Normal weight
104,Female,2003,47.5,1.55,19.7710718,Normal weight
105,Male,2003,66,1.75,21.55102041,Normal weight
106,Male,2003,53.5,1.76,17.27143595,Underweight
107,Male,2002,88,1.74,29.06592681,Pre-obesity
108,Male,2003,82.5,1.76,26.63352273,Pre-obesity
109,Female,2003,45,1.68,15.94387755,Underweight
110,Male,2002,80,1.75,26.12244898,Pre-obesity
111,Male,2003,56,1.78,17.67453604,Underweight
112,Female,2002,46.5,1.6,18.1640625,Underweight
114,Male,2003,110,1.71,37.6184125,Obesity class II
115,Male,2004,64,1.75,20.89795918,Normal weight
116,Male,2004,64.2,1.64,23.8697204,Normal weight
117,Female,2002,62,1.74,20.47826661,Normal weight
118,Male,2003,63,1.79,19.66230767,Normal weight
119,Female,2003,54.7,1.62,20.84285932,Normal weight
